date,company,position,location,tags,remote,experience_level,experience_years,english_level,url
2026-02-09T20:09:36.314895,Postulado,Desarrollador de Negocios B2B – Servicios Temporales / Outsourcing de Talento Humano,,,False,,3,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-de-negocios-b2b-servicios-temporales-outsourcing-de-talento-humano-en-bogota-dc-7328ED79E64FC4F361373E686DCF3405#lc=ListOffers-Score4-0
2026-02-09T20:09:39.256882,Postulado,Desarrollador/a RPA,,"python, sql, software",False,,3,required,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-desarrolladora-rpa-ingles-b2-en-bogota-dc-59360722EF767CC061373E686DCF3405#lc=ListOffers-Score4-1
2026-02-09T20:09:41.924069,Postulado,Auxiliar PCM o programador de mantenimiento,,,False,,,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-pcm-o-programador-de-mantenimiento-programador-de-mantenimiento-en-bogota-dc-1F26108BD5A59CD961373E686DCF3405#lc=ListOffers-Score4-2
2026-02-09T20:09:44.624871,Postulado,Operador y programador cnc,,,False,,2,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-operador-y-programador-cnc-centro-de-mecanizado-cnc-en-bogota-dc-0A3EDF256FCF001361373E686DCF3405#lc=ListOffers-Score4-3
2026-02-09T20:09:47.406673,Se precisa Urgente,Desarrollador de mercados/ sector tecnología,Empleo destacado,software,False,,2,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-de-mercados-sector-tecnologia-oriente-antioqueno-en-rionegro-8D1E92D11DF4228961373E686DCF3405#lc=ListOffers-Score4-4
2026-02-09T20:09:50.247775,Se precisa Urgente,Back end Developer (.NET + APIs)  Ingles Avanzado,Empleo destacado,"sql, azure, support, software, frontend",False,,5,required,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-back-end-developer-net-apis-ingles-avanzado-medellin-en-medellin-649FA8B1E38D073461373E686DCF3405#lc=ListOffers-Score4-5
2026-02-09T20:09:52.909902,Se precisa Urgente,Full Stack Developer (.NET + Angular/Blazor)  Ingles Avanzado,Empleo destacado,"sql, software",False,,5,required,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-full-stack-developer-net-angularblazor-ingles-avanzado-medellin-en-medellin-48C702F864A0AA5961373E686DCF3405#lc=ListOffers-Score4-6
2026-02-09T20:09:55.771120,Empleo destacado,Frond end Developer (ASP.NET Angular/Blazor) Ingles Avanzado,Postulado,"sql, react, software, backend, frontend",False,,5,required,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-frond-end-developer-aspnet-angularblazor-ingles-avanzado-medellin-en-medellin-E75410134ABE2E7A61373E686DCF3405#lc=ListOffers-Score4-7
2026-02-09T20:09:58.580633,Empleo destacado,Desarrollador Full Stack/profesional en ingeniería de sistemas/Desarrollador de software/Bogotá,Postulado,"sql, node, software, backend, frontend",False,,3,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-full-stackprofesional-en-ingenieria-de-sistemasdesarrollador-de-softwarebogota-en-bogota-dc-C43D75F9234111B361373E686DCF3405#lc=ListOffers-Score4-8
2026-02-09T20:10:01.269578,Se precisa Urgente,Desarrollador de negocios corporativos Soluciones de Seguridad Medellín,Empleo destacado,,False,,2,required,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-de-negocios-corporativos-soluciones-de-seguridad-medellin-ejecutivo-a-comercial-en-medellin-48FB9C0F4C8AD6A561373E686DCF3405#lc=ListOffers-Score4-9
2026-02-09T20:10:03.957216,Postulado,"Desarrollador, Programador",,"java, sql, react, node, software, backend, frontend",False,,,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-programador-software-backend-frontend-en-medellin-8189C299C00FC11161373E686DCF3405#lc=ListOffers-Score4-10
2026-02-09T20:10:06.653725,Postulado,Desarrollador de Zona,,software,False,,3,,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-de-zona-cali-en-cali-9AADD5214B634CBB61373E686DCF3405#lc=ListOffers-Score4-11
