date,company,position,location,tags,remote,experience_level,experience_years,english_level,url
2026-02-09T14:24:30+00:00,,Senior Software Engineer,,software engineer,False,senior,,,https://www.indeed.com/rc/clk?jk=080269cf715cee4a&bb=aab4djBwyKXCLab9MeJM51SQ7N16_LlNNb-YWvrL0TWHanh9lvWgCPQol0odPLjSBRJGee8hca7S0HhJpiXDxlCSGTRkRfojTsJ90TxgZrpWtVeqGvMC_MnNXG0RgfOZaccQSlyJMiBz9y5hEk-L8Eqx7bKQisFp&xkcb=SoBR67M3nhzsbXSLHh0KbzkdCdPP&fccid=3d64cf52129caab6&cmp=Stellar-AI&ti=Senior+software+engineer&vjs=3
2026-02-09T14:24:30+00:00,,Software Engineer,,software engineer,False,,,,https://www.indeed.com/rc/clk?jk=aedb4ade9e6ddda9&bb=aab4djBwyKXCLab9MeJM5wp4PMzYQb8pWqxFy-Zqa0ojlImbpaR8PtzkHwvJjTDu1Y07opQOT56q3UREFTTejdWaNYYl6CujzASivzxtWYsMEgbKdaofdHnDfX12s7-Qjidpwqj_ZLsLhWe9Y1cCGQ%3D%3D&xkcb=SoDM67M3nhzsbXSLHh0JbzkdCdPP&fccid=dfc44f3b8c44a6db&vjs=3
2026-02-09T14:24:30+00:00,,"Software Engineer II, Data",,software engineer,False,,,,https://www.indeed.com/rc/clk?jk=606743f84bfc0e07&bb=aab4djBwyKXCLab9MeJM5_E9IblBPPhy_nAJmuccRJvYTD9hOFqLtfWTYcdFtXG9PSJlREkdFIjSpvnnE48k-gqmI5ulUc65Dzv5tHWV6GbQwv8ioy4gd9CHRIjKI7_4Zs4DsH3WVqPJJPdVVs8znpLrrNqILTtZ&xkcb=SoB467M3nhzsbXSLHh0IbzkdCdPP&fccid=c9e18f64f2a731bc&vjs=3
2026-02-09T14:24:30+00:00,,"Software Engineer, Agentic (Remote / Contract)",,software engineer,False,,,,https://www.indeed.com/rc/clk?jk=9257b23f7a9addb6&bb=aab4djBwyKXCLab9MeJM53iFdJYPLxpZScn-wr00hy3LhCVbFfNkDHzFpA5eVxRZcxWiZ2hiHhxmPJxtb3sZK1JhvTy4JzLk1xWpwSze1xS1jpGc1XYeRKEB9K-PNEM34mB7SwohcZwiQnlpTPilpw15TwP73Ep4&xkcb=SoD267M3nhzsbXSLHh0PbzkdCdPP&fccid=b5a33dcb9aced2e5&vjs=3
2026-02-09T14:24:30+00:00,,Software Engineer (L4) - Resilience Engineering,,software engineer,False,,,,https://www.indeed.com/rc/clk?jk=66edb2a9943ff902&bb=aab4djBwyKXCLab9MeJM552VTTsv7ONC_THFIoyp7EctKwaSjwWofB78mh8jBtnemsKti8IMpQzF898PUCuDakkwLkclNtoFNBKpspx08Ms6kd7TdhkOqTe3yOvIqZWcwTJAzRKVaDEbmvOJ-rolEg%3D%3D&xkcb=SoBC67M3nhzsbXSLHh0ObzkdCdPP&fccid=66403b30a2c0d89c&vjs=3
2026-02-09T14:24:30+00:00,,Software Engineer,,software engineer,False,,,,https://www.indeed.com/rc/clk?jk=4405b9554efcf6a7&bb=aab4djBwyKXCLab9MeJM53RUYNrC1Y1Y1XlliFdwRpGcUxwG1nTUL1BhI2O9_9JAwdA0Clf2i6xFRchFI3JKt3KiOUaNSCqduCTxJOsw54bNSxHvEUJwT5Y8VpshLftzHTzaf59MRt4UQXh6d_kOMttuzV_w4SmW&xkcb=SoDf67M3nhzsbXSLHh0NbzkdCdPP&fccid=a5eb5c7d769b00a4&vjs=3
2026-02-09T14:24:30+00:00,,Software Engineer I (ALDP),,software engineer,False,,,,https://www.indeed.com/rc/clk?jk=93754dd64353c430&bb=aab4djBwyKXCLab9MeJM5_rcSpkXnG9yYPFSeuQLgok98DxF2KB9AAvIh7biVC9yoAb12qqqQ6XP_E6l9Qf1wpGPHSwxILpMP5D-7_eK-rl9mDHKFuJ47fjjoJUQeTWMVDVLMfxPOAyFWOmQLV4_gsA_vFltk8r3&xkcb=SoBr67M3nhzsbXSLHh0MbzkdCdPP&fccid=7e9afa700659af5d&vjs=3
2026-02-09T14:24:30+00:00,,Quadient Software Engineer,,software engineer,False,,,,https://www.indeed.com/rc/clk?jk=3ce616c0fbd931bd&bb=aab4djBwyKXCLab9MeJM5xn8e6lD96cgnt0FU-FsoE-iGuHed7lj8ww6ZlJhPP7FX0mUs_SrXzsuMstXLqKVswNuTRNiO4P-xID5TH9InNvom4ApzmhNttzd9xxg9tSitBWjF021BB-AKPXCkWCmKTAFDP3LLIei&xkcb=SoCC67M3nhzsbXSLHh0DbzkdCdPP&fccid=b1062a05874c978e&cmp=Printmail-Solutions&ti=Software+engineer&vjs=3
2026-02-09T14:24:30+00:00,,Quadient Software Engineer,,software engineer,False,,,,https://www.indeed.com/viewjob?jk=fedcba9876543210
2026-02-09T14:24:30+00:00,,Software Engineer,,software engineer,False,,,,https://www.indeed.com/rc/clk?jk=19e8718dc703c4a2&bb=aab4djBwyKXCLab9MeJM53Rt0R03BUeCwCl2qTWrqNsXKpvUQxfW2kk57d2hrbmc7szkGtS82oJD1pAWbvH_uLiNkzP-DmPQZS8AGWaIAkeXysTAhOEVe-7_fnZIr3WjdCQ30DSCUGADLKfBHSuMKQ%3D%3D&xkcb=SoA267M3nhzsbXSLHh0CbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
2026-02-09T14:24:30+00:00,,"Software Engineer, Early Career",,software engineer,False,,,,https://www.indeed.com/rc/clk?jk=067c98547952c4a3&bb=aab4djBwyKXCLab9MeJM564RXZARibn5XB_v3bmY3_0fuFZoXciDwf6Y1ZSCilz0yI1xHdp_kikfoXOvo3UdXogr5Q6BnvMKlXWyYVaoFUg4dSi96F2cJmDOiqnDCAzx-235hMtX7q5hevsykioUIQ%3D%3D&xkcb=SoCr67M3nhzsbXSLHh0BbzkdCdPP&fccid=5cf4e54c5ef78aa7&vjs=3
