date,company,position,location,tags,remote,experience_level,experience_years,english_level,url
2026-02-09T21:32:34.226702,Rappi,Analytics Engineer,"Bogota, D.C., Capital District, Colombia",data engineer,,,,,https://co.linkedin.com/jobs/view/analytics-engineer-at-rappi-4354010777?position=1&pageNum=0&refId=L2LfC4PDws1nR2FUa6%2BFuw%3D%3D&trackingId=upKMgqR8DwlqJm10ajge5g%3D%3D
2026-02-09T21:32:34.227148,Scotiabank,Data Engineer Associate,"Bogota, D.C., Capital District, Colombia",data engineer,,,,,https://co.linkedin.com/jobs/view/data-engineer-associate-at-scotiabank-4325680636?position=2&pageNum=0&refId=L2LfC4PDws1nR2FUa6%2BFuw%3D%3D&trackingId=30Cv3WRmTJq0uzZUf8cGVQ%3D%3D
2026-02-09T21:32:34.227285,Scotiabank,Data Engineer,"Bogota, D.C., Capital District, Colombia",data engineer,,,,,https://co.linkedin.com/jobs/view/data-engineer-at-scotiabank-4293048341?position=3&pageNum=0&refId=L2LfC4PDws1nR2FUa6%2BFuw%3D%3D&trackingId=IkDj%2FEJ3CWd0uUo2%2Bx1gDA%3D%3D
2026-02-09T21:32:34.227413,Scotiabank,Data Engineer,"Bogota, D.C., Capital District, Colombia",data engineer,,,,,https://co.linkedin.com/jobs/view/data-engineer-at-scotiabank-4323232970?position=4&pageNum=0&refId=L2LfC4PDws1nR2FUa6%2BFuw%3D%3D&trackingId=GvbTcK0io9h%2Fi6syk%2Bnsvg%3D%3D
2026-02-09T21:32:34.227526,Scotiabank,Data Engineer Associate,"Bogota, D.C., Capital District, Colombia",data engineer,,,,,https://co.linkedin.com/jobs/view/data-engineer-associate-at-scotiabank-4344718471?position=5&pageNum=0&refId=L2LfC4PDws1nR2FUa6%2BFuw%3D%3D&trackingId=bCLlqkg6tZjUsoaJPqnaew%3D%3D
2026-02-09T21:32:34.227631,Havas Media Network España,Junior Data Engineer,"Bogota, D.C., Capital District, Colombia",data engineer,,,,,https://co.linkedin.com/jobs/view/junior-data-engineer-at-havas-media-network-espa%C3%B1a-4350148144?position=6&pageNum=0&refId=L2LfC4PDws1nR2FUa6%2BFuw%3D%3D&trackingId=ORuE%2BLEPcjwiwTxtCH%2FxEA%3D%3D
2026-02-09T21:32:34.227736,PriceSmart,Data Developer,"Bogota, D.C., Capital District, Colombia",data engineer,,,,,https://co.linkedin.com/jobs/view/data-developer-at-pricesmart-4356821834?position=7&pageNum=0&refId=L2LfC4PDws1nR2FUa6%2BFuw%3D%3D&trackingId=hw4SIx1A%2Bj%2BMKjuY5vBaGA%3D%3D
2026-02-09T21:32:34.227858,NielsenIQ,Jr. Data Science / AI Engineer,"Bogota, D.C., Capital District, Colombia",data engineer,,,,,https://co.linkedin.com/jobs/view/jr-data-science-ai-engineer-at-nielseniq-4330144101?position=8&pageNum=0&refId=L2LfC4PDws1nR2FUa6%2BFuw%3D%3D&trackingId=28%2FkaywlGGHIXQr8zJb3Mw%3D%3D
2026-02-09T21:32:34.227961,Rappi,Data Analyst,"Bogota, D.C., Capital District, Colombia",data engineer,,,,,https://co.linkedin.com/jobs/view/data-analyst-at-rappi-4348497787?position=9&pageNum=0&refId=L2LfC4PDws1nR2FUa6%2BFuw%3D%3D&trackingId=2xyqoa%2FF7nCwliF8eZY3pg%3D%3D
2026-02-09T21:32:34.228061,STRATESYS,Data Analyst Jr,"Bogota, D.C., Capital District, Colombia",data engineer,,,,,https://co.linkedin.com/jobs/view/data-analyst-jr-at-stratesys-4356426677?position=10&pageNum=0&refId=L2LfC4PDws1nR2FUa6%2BFuw%3D%3D&trackingId=TGQhx%2BRR8FpQ%2FRkkhT2MWw%3D%3D
