date,company,position,location,tags,remote,experience_level,experience_years,english_level,url
2026-02-06T22:41:25,SKYCATCHFIRE,Senior Python Backend Developer,USA,"api, backend, django, excel, python, react, AI/ML, automation, CRM, flask, business operations, ETL, next.js, software systems",True,senior,,,https://remotive.com/remote-jobs/software-development/senior-python-backend-developer-2088624
2026-02-06T16:14:35,TELUS Digital,Content Reviewer,USA,"android, go, ios, social media, AI/ML, diversity",True,lead,,english,https://remotive.com/remote-jobs/all-others/content-reviewer-2088622
2026-02-04T08:43:19,Welo Data,AI Internet Rater,USA,"AI/ML, project management, insurance",True,,18 years,english,https://remotive.com/remote-jobs/ai-ml/ai-internet-rater-2088618
2026-02-02T20:00:50,Coalition Technologies ,Copywriter,Worldwide,"accounting, excel, research, data analysis, bookkeeping, google sheets, quickbooks, data entry, insurance, G Suite",True,lead,,english,https://remotive.com/remote-jobs/writing/copywriter-1749306
2026-01-26T07:45:51,GNO Partners,Senior Amazon Brand Manager,Worldwide,"amazon, backend, project management, PPC",True,senior,3+ years,english,https://remotive.com/remote-jobs/marketing/senior-amazon-brand-manager-2082736
2026-01-24T14:35:10,BNSF Railway,"Product, Platform & Enterprise Full Stack Sr/Staff Software Engineer",USA,"api, AWS, azure, cloud, fullstack, git, kafka, node.js, react, security, sql, AI/ML, paas, agile, product engineering, automation, CI/CD, spring, NoSQL, distributed systems, angular , STEM, GCP, platform security, spring boot, Micro services, serverless, testing, computer science, infrastructure, grafana, travel, insurance, mental health",True,senior,2 years,,https://remotive.com/remote-jobs/software-development/product-platform-enterprise-full-stack-sr-staff-software-engineer-2088612
2026-01-24T14:33:27,BNSF Railway,"Product, Platform & Enterprise Front End Sr/Staff Software Engineer",USA,"api, AWS, azure, cloud, fullstack, git, kafka, node.js, react, security, sql, AI/ML, paas, agile, product engineering, automation, CI/CD, spring, NoSQL, distributed systems, angular , STEM, GCP, platform security, spring boot, Micro services, serverless, testing, computer science, infrastructure, grafana, travel, insurance, mental health",True,junior,2 years,,https://remotive.com/remote-jobs/software-development/product-platform-enterprise-front-end-sr-staff-software-engineer-2088611
2026-01-23T21:23:08,BNSF Railway,Sr/Staff AI Engineer,USA,"AWS, azure, cloud, data science, hadoop, java, python, sql, open source, AI/ML, automation, research, data analysis, deep learning, TensorFlow, NoSQL, spark, angular , STEM, ETL, data engineering, supply chain , IoT, R, computer science, infrastructure, travel, Pytorch, insurance, mental health",True,lead,2 years,,https://remotive.com/remote-jobs/ai-ml/sr-staff-ai-engineer-2088613
2026-01-20T21:33:20,JLS Trading Co,Product Developer / Engineer @ Fun Ecom Co | Great People & Flexible Hours,Worldwide,"amazon, go, saas, CAD, PPC, supply chain , testing, Fusion, autocad, REST",True,,2 years,,https://remotive.com/remote-jobs/product/product-developer-engineer-fun-ecom-co-great-people-flexible-hours-2088608
2026-01-18T14:31:16,Marketerx,Senior DevOps Engineer,USA,"AWS, cloud, docker, kubernetes, security, SRE, AI/ML, CI/CD, terraform, startup, ansible, infrastructure",True,senior,5+ years,,https://remotive.com/remote-jobs/devops/senior-devops-engineer-2070150
2026-01-16T14:01:26,Clipboard Health,Client Support Specialist,"Europe, Canada, South Africa, Philippines, Jamaica","documentation, zendesk, account management, startup, Linux/Unix",True,manager,,english,https://remotive.com/remote-jobs/customer-service/client-support-specialist-2086826
2026-01-16T10:16:08,A.Team,Senior Independent Software Developer,"Americas, Europe, Israel","go, wordpress, chat, apple, testing, catalyst",True,senior,4 years,,https://remotive.com/remote-jobs/software-development/senior-independent-software-developer-1919265
2026-01-16T10:16:03,A.Team,Senior Independent AI Engineer / Architect,"Americas, Europe, Israel","go, UI/UX, wordpress, chat, apple, testing, catalyst",True,senior,4 years,,https://remotive.com/remote-jobs/software-development/senior-independent-ai-engineer-architect-1919266
2026-01-14T20:46:36,Mitre Media,Tech Lead Full-Stack Rails Engineer,"USA, Canada, USA timezones","api, CSS, docker, elasticsearch, fullstack, html, javascript, kubernetes, postgresql, react, ror, ruby/rails, AI/ML, CAD, advertising, Redis, ES6, web applications, MySQL, NLP, fintech, Micro services, github, system architecture",True,lead,5+ years,,https://remotive.com/remote-jobs/software-development/tech-lead-full-stack-rails-engineer-2069746
